time,stage,Lot,runnum,recipe,recipe_step,ACTUALROTATIONANGLE,ACTUALSTEPDURATION,ETCHBEAMCURRENT,ETCHGASCHANNEL1READBACK,ETCHPBNGASREADBACK,ETCHSOURCEUSAGE,FIXTURETILTANGLE,FLOWCOOLFLOWRATE,FLOWCOOLPRESSURE,IONGAUGEPRESSURE,TTF_FlowCool Pressure Dropped Below Limit,fault_x,fault_labeling_x,TTF_Flowcool Pressure Too High Check Flowcool Pump,fault_y,fault_labeling_y,TTF_Flowcool leak,fault,fault_labeling
22075484,1,9349,11744123,66,5,0.379008568,-0.2919486,-0.959438448,-1.751661149,-2.791223178,-1.471444485,-0.200726709,-2.838225484,0.855594845,-0.079145537,499668,0,0,86424,0,1,2950322,0,0
22075488,1,9349,11744123,66,5,0.379008568,-0.2919486,-0.959225659,-1.747157525,-2.791223178,-1.471444485,-0.200726709,-2.838225484,0.855594845,-0.079145537,499664,0,0,86420,0,1,2950318,0,0
22075492,1,9349,11744123,66,5,0.379008568,-0.2919486,-0.959225659,-1.747157525,-2.787718423,-1.471444485,-0.200726709,-2.840943512,0.855594845,-0.079145537,499660,0,0,86416,0,1,2950314,0,0
22075496,1,9349,11744123,66,5,0.379008568,-0.2919486,-0.959651238,-1.747157525,-2.787718423,-1.471444485,-0.200726709,-2.840943512,0.855594845,-0.079145537,499656,0,0,86412,0,1,2950310,0,0
22075500,1,9349,11744123,66,5,0.379008568,-0.2919486,-0.959296589,-1.748908928,-2.787718423,-1.471444485,-0.200726709,-2.840943512,0.855594845,-0.079145537,499652,0,0,86408,0,1,2950306,0,0
22075504,1,9349,11744123,66,5,0.379008568,-0.2919486,-0.959083799,-1.748908928,-2.788945074,-1.471444485,-0.200726709,-2.841849516,0.855594845,-0.079145537,499648,0,0,86404,0,1,2950302,0,0
22075508,1,9349,11744123,66,5,0.379008568,-0.2919486,-0.959864057,-1.753412563,-2.788945074,-1.471444485,-0.200726709,-2.841849516,0.858817857,-0.079145537,499644,0,0,86400,1,1,2950298,0,0
22075508,1,9349,11744123,66,5,0.379008568,-0.2919486,-0.959864057,-1.753412563,-2.788945074,-1.471444485,-0.200726709,-2.841849516,0.858817857,-0.079145537,499640,0,0,86396,1,1,2950298,0,0
22075508,1,9349,11744123,66,5,0.379008568,-0.2919486,-0.959864057,-1.753412563,-2.788945074,-1.471444485,-0.200726709,-2.841849516,0.858817857,-0.079145537,499636,0,0,86392,1,1,2950298,0,0
22075508,1,9349,11744123,66,5,0.379008568,-0.2919486,-0.959864057,-1.753412563,-2.788945074,-1.471444485,-0.200726709,-2.841849516,0.858817857,-0.079145537,499632,0,0,86388,1,1,2950298,0,0
22075508,1,9349,11744123,66,5,0.379008568,-0.2919486,-0.959864057,-1.753412563,-2.788945074,-1.471444485,-0.200726709,-2.841849516,0.858817857,-0.079145537,499628,0,0,86384,1,1,2950298,0,0
22075508,1,9349,11744123,66,5,0.379008568,-0.2919486,-0.959864057,-1.753412563,-2.788945074,-1.471444485,-0.200726709,-2.841849516,0.858817857,-0.079145537,499624,0,0,86380,1,1,2950298,0,0
22075508,1,9349,11744123,66,5,0.379008568,-0.2919486,-0.959864057,-1.753412563,-2.788945074,-1.471444485,-0.200726709,-2.841849516,0.858817857,-0.079145537,499620,0,0,86376,1,1,2950292.667,0,0
22075508,1,9349,11744123,66,5,0.379008568,-0.2919486,-0.959864057,-1.753412563,-2.788945074,-1.471444485,-0.200726709,-2.841849516,0.858817857,-0.079145537,499616,0,0,86372,1,1,2950290.97,0,0
